,type,title,author,date,price,sales,review_num,review_score
114,[도서],하란사,권비영,2021년 07월,12600,1236,90,9.4
115,[도서],마음챙김 미술관,김소울,2022년 03월,15120,2880,55,9.8
116,[도서],잔류 인구,엘리자베스 문,2021년 10월,14400,2406,40,9.8
117,[도서],우주를 만지다,권재술,2020년 09월,14400,2646,89,9.4
118,[도서],청년 도배사 이야기,배윤슬,2021년 07월,10800,2607,17,9.3
119,[도서],숫자가 만만해지는 책,브라이언 W. 커니핸,2020년 04월,13500,1920,19,9.2
120,[도서],언제 올지 모를 희망 말고 지금 행복했으면,송정림,2022년 04월,13500,2580,27,9.6
121,[도서],소설처럼 아름다운 클래식 이야기,이채훈,2020년 04월,14400,1764,20,8.6
122,[eBook],새는 날아가면서 뒤돌아보지 않는다,류시화,2017년 02월,9800,1536,6,8.6
123,[도서],그럴수록 우리에겐 친구가 필요하다,이름트라우트 타르,2022년 03월,13500,1902,8,9.4
124,[도서],덕혜옹주,권비영,2015년 10월,12420,3114,28,9.2
125,[도서],세상물정의 사회학,노명우,2013년 12월,15120,1530,27,8.4
126,[도서],셈을 할 줄 아는 까막눈이 여자,요나스 요나손,2014년 07월,13320,1050,143,8.6
127,[eBook],방구석 미술관,조원재,2018년 08월,11000,2412,20,9.0
128,[도서],단어의 사연들,백우진,2018년 12월,11700,1356,20,9.0
129,[도서],송기원의 포스트 게놈 시대,송기원,2018년 10월,13500,1506,7,9.4
130,[도서],작은마음동호회,윤이형,2019년 08월,13050,840,12,8.6
131,[도서],천국보다 낯선,이장욱,2013년 12월,11700,918,34,8.9
132,[도서],상상이 현실이 되는 순간,조엘 레비,2020년 10월,15300,1617,36,9.6
133,[도서],식탁 위의 한국사,주영하,2013년 09월,26100,1464,10,8.4
134,[도서],퇴근길 클래식 수업,나웅준,2018년 12월,14400,1104,40,9.2
135,[도서],동화경제사,최우성,2018년 02월,13500,948,14,9.1
136,[도서],의사의 반란 (큰글자책),신우섭,2020년 09월,16200,1230,0,0
137,[도서],내가 정말 알아야 할 수학은 초등학교에서 모두 배웠다,최수일,2020년 02월,13500,906,42,9.7
138,[eBook],배움의 발견,타라 웨스트오버,2020년 01월,14000,1644,15,9.7
139,[도서],지방의 누명,홍주영,2017년 01월,14400,1368,49,9.4
140,[eBook],두 번째 지구는 없다,타일러 라쉬,2020년 07월,9800,4158,4,9.8
141,[도서],스페인은 가우디다,김희곤,2014년 09월,14400,1122,38,8.7
142,[도서],안녕을 위하여,이승연,2022년 09월,15300,945,23,9.5
143,[도서],숲은 고요하지 않다,마들렌 치게,2021년 04월,16200,3174,23,9.4
144,[도서],Z의 스마트폰,박준영,2022년 07월,16020,3948,38,9.8
145,[도서],8초 인류,리사 이오띠,2022년 04월,14400,888,25,9.5
146,[도서],사이언스 소믈리에,강석기,2013년 05월,13500,462,11,9.4
147,[eBook],나는 불안할 때 논어를 읽는다,판덩,2022년 03월,12460,180,0,0
148,[도서],찻잔 속 물리학,헬렌 체르스키,2018년 03월,15120,1806,34,8.8
149,[도서],줄리아나 도쿄,한정현,2019년 01월,13050,1770,8,9.8
150,[도서],곽재식의 세균 박람회,곽재식,2020년 02월,15120,1668,32,9.6
151,[도서],지속가능한 여행을 하고 있습니다,홀리 터펜,2021년 06월,15300,1908,29,9.6
152,[도서],하나도 괜찮지 않습니다,오찬호,2018년 01월,13050,1362,77,9.1
153,[도서],수학으로 생각하는 힘,키트 예이츠,2020년 07월,15120,2658,33,9.6
154,[도서],포스트트루스,리 매킨타이어,2019년 05월,14400,5265,13,9.5
155,[도서],사랑은 왜 아픈가,에바 일루즈,2013년 06월,27000,930,4,8.8
156,[도서],보이지 않는 영향력,조나 버거,2017년 03월,15750,1182,9,9.0
157,[도서],홀 The Hole,편혜영,2016년 03월,11700,1266,58,8.4
158,[eBook],딸에 대하여,김혜진,2017년 09월,9100,1146,35,8.7
159,[도서],북유럽 그림이 건네는 말   ,최혜진,2019년 01월,14220,1050,7,9.2
160,[도서],의심의 철학,이진우,2017년 04월,13500,930,19,7.7
161,[도서],우리는 차별에 찬성합니다,오찬호,2013년 12월,12600,2121,46,8.3
162,[도서],과일로 읽는 세계사,윤덕노,2021년 11월,15120,1896,55,9.8
163,[eBook],모스크바의 신사,에이모 토울스,2018년 07월,12600,1602,246,8.5
164,[도서],세계사를 바꾼 전염병 13가지,제니퍼 라이트,2020년 03월,18000,1608,13,8.4
165,[eBook],헌책방 기담 수집가,윤성근,2022년 01월,10500,8244,255,9.4
166,[도서],나의 다정하고 무례한 엄마,이남옥,2020년 06월,13500,2208,31,9.9
167,[도서],직장이 없는 시대가 온다,새라 케슬러,2019년 02월,14850,2214,44,8.5
168,[도서],그래도 우리의 나날,시바타 쇼,2018년 12월,13050,900,15,8.4
169,[eBook],세상은 온통 화학이야,김민경,2019년 09월,13400,2016,0,0
170,[도서],"천천히, 스미는",버지니아 울프,2016년 09월,13500,7482,9,8.4
171,[도서],세계 최고의 인재들은 왜 기본에 집중할까,도쓰카 다카마사,2014년 02월,11700,1698,55,8.1
172,[도서],글쓰는 삶을 위한 일 년,수전 티베르기앵,2016년 07월,13500,522,4,8.8
173,[도서],내 사랑 모드,랜스 울러버,2018년 09월,15300,1650,11,8.3
174,[도서],인스타그램에는 절망이 없다,정지우,2020년 01월,13500,1374,15,8.7
175,[도서],법정에서 못다 한 이야기,박형남,2021년 11월,14400,1392,1,8.0
176,[도서],약국에 없는 약 이야기,박성규,2019년 10월,14400,1302,21,9.6
177,[도서],우리 집에 화학자가 산다,김민경,2019년 03월,13500,3795,9,9.6
178,[도서],4차 산업혁명을 이끌 IT 과학이야기,이재영,2017년 07월,15300,1164,3,9.0
179,[도서],수면 밸런스,한진규,2016년 12월,12420,1152,42,8.6
180,[eBook],의사의 반란,신우섭,2015년 02월,8400,756,4,8.8
181,[eBook],고립의 시대,노리나 허츠,2021년 11월,15500,1764,0,0
182,[도서],언컨택트,김용섭,2020년 04월,16200,678,40,8.5
183,[도서],"나는, 휴먼",주디스 휴먼,2022년 03월,15300,2712,24,9.7
184,[eBook],내 인생에 용기가 되어준 한마디,정호승,2018년 01월,8190,378,0,0
185,[도서],감정 폭력,베르너 바르텐스,2019년 09월,13500,1530,35,9.1
186,[eBook],나는 매주 시체를 보러 간다,유성호,2019년 02월,12800,1476,10,8.6
187,[도서],무지와 편견의 세계사,헨드리크 빌렘 반 룬,2018년 01월,19800,294,24,8.7
188,[도서],명작 뒤에 숨겨진 사랑,이동연,2016년 11월,15120,276,20,9.0
189,[도서],미술관에 간 물리학자,서민아,2020년 02월,16200,3027,29,9.4
190,[도서],은하환담 ,곽재식,2022년 03월,13500,1140,1,10.0
191,[도서],경제학자의 인문학 서재,박정호,2020년 02월,16650,1344,27,8.8
192,[도서],회계는 어떻게 역사를 지배해왔는가,제이컵 솔,2016년 04월,19800,1302,5,8.6
193,[도서],삶은 속도가 아니라 방향이다,수영,2022년 01월,13500,888,0,0
194,[도서],"건축가, 빵집에서 온 편지를 받다",나카무라 요시후미,2013년 09월,13410,858,21,8.3
195,[도서],리얼 월드 러닝,김하늬,2021년 08월,14400,4386,18,9.7
196,[eBook],미루기의 천재들,앤드루 산텔라,2019년 02월,9600,1632,5,8.4
197,[도서],"뭐든지, 호르몬!",이토 히로시,2016년 08월,12150,462,0,0
198,[도서],나에게 오늘을 선물합니다,김나위,2022년 06월,15120,432,0,0
199,[eBook],만약은 없다,남궁인,2016년 08월,9800,972,5,7.8
200,[도서],우린 다르게 살기로 했다,조현,2018년 08월,18000,1686,29,9.6
201,[도서],햇빛의 선물,안드레아스 모리츠,2016년 06월,11520,3402,10,9.3
202,[도서],"눈물의 땅, 팔레스타인",김재명,2019년 05월,19800,1200,3,10.0
203,[도서],오늘 뭐 먹지?,권여선,2018년 05월,12420,1002,27,9.0
204,[도서],조선 직장인 열전,신동욱,2019년 11월,13500,918,27,8.9
205,[도서],세 갈래 길,래티샤 콜롱바니,2017년 12월,12420,981,73,9.4
206,[도서],사랑은 그렇게 끝나지 않는다,줄리언 반스,2014년 05월,11520,564,55,8.1
207,[도서],우리는 미래에 조금 먼저 도착했습니다,아누 파르타넨,2017년 06월,15120,786,20,9.2
208,[도서],결국 Z세대가 세상을 지배한다,김용섭,2021년 08월,16200,1878,23,9.9
209,[eBook],마음의 오류들,에릭 캔델,2020년 07월,16800,534,0,0
210,[도서],위장환경주의,카트린 하르트만,2018년 12월,15300,3288,9,9.7
211,[eBook],습관의 디테일,BJ 포그,2020년 12월,12800,1110,4,9.3
212,[도서],내 이름은 욤비,욤비 토나,2013년 01월,14850,2010,14,9.2
213,[eBook],우리 집에 화학자가 산다,김민경,2019년 04월,10500,1278,0,0
214,[도서],"70세 사망법안, 가결",가키야 미우,2018년 10월,13500,1374,42,8.8
215,[도서],뉴런하우스,김정규,2018년 03월,14400,738,26,8.9
216,[도서],어른답게 삽시다,이시형,2019년 08월,12600,1104,34,9.6
217,[도서],쉬어도 피곤한 사람들,이시형,2018년 03월,13320,984,11,8.7
218,[도서],인공지능 시대가 두려운 사람들에게 ,리처드 왓슨,2017년 12월,15300,678,13,9.0
219,[eBook],나는 생각이 너무 많아,크리스텔 프티콜랭,2014년 05월,10360,588,9,7.5
220,[도서],모두 너와 이야기하고 싶어 해,은모든,2020년 05월,11700,972,21,8.8
221,[도서],아티스트 인사이트 : 차이를 만드는 힘,정인호,2021년 05월,15300,516,11,9.6
222,[도서],한국인은 왜 이렇게 먹을까?,주영하,2018년 01월,19800,984,12,8.6
223,[도서],뇌 이야기,딘 버넷,2018년 06월,16200,750,13,8.7
224,[도서],그림 속 천문학,김선지,2020년 06월,15300,1740,42,9.6
225,[도서],"가구, 집을 갖추다",김지수,2022년 02월,16200,2568,23,9.9
226,[도서],내일,기욤 뮈소,2013년 12월,12420,1422,88,8.8
227,[도서],"지금 여기, 무탈한가요?",오찬호,2020년 08월,13500,4623,15,9.4
228,[도서],균형이라는 삶의 기술,이진우,2020년 12월,14400,1551,22,9.3
229,[eBook],82년생 김지영,조남주,2016년 12월,9100,2346,175,9.1
230,[eBook],말의 품격,이기주,2017년 06월,10150,1272,7,7.3
231,[도서],한국 정원 기행,김종길,2020년 06월,15300,1686,20,9.6
232,[도서],"잠깐 애덤 스미스 씨, 저녁은 누가 차려줬어요?",카트리네 마르살,2017년 02월,13500,936,29,9.0
233,[도서],모든 것의 기원,데이비드 버코비치,2017년 10월,15750,942,30,8.7
234,[도서],굿 퀘스천,아와즈 교이치로,2018년 06월,12150,837,11,9.5
235,[도서],명화들이 말해주는 그림 속 드레스 이야기,이정아,2018년 12월,18000,822,5,9.2
236,[도서],차의 시간을 걷다,김세리,2020년 07월,16200,408,10,9.2
237,[eBook],불과 나의 자서전,김혜진,2021년 08월,9100,294,0,0
238,[도서],소르본 철학 수업,전진,2020년 08월,13500,282,22,9.5
239,[eBook],위로의 미술관,진병관,2022년 08월,13160,564,0,0
240,[도서],체육관으로 간 뇌과학자,웬디 스즈키,2019년 06월,15300,1734,26,9.0
241,[도서],뒤통수의 심리학,마리아 코니코바,2018년 04월,16200,510,20,8.7
242,[도서],임파워링하라,박창규,2017년 04월,13500,534,2,7.5
243,[도서],이반 오소킨의 인생 여행,공경희,2014년 10월,12420,150,59,8.4
